header,is_outcome,is_group_attribute,type,ordering
hospital_mortality,TRUE,FALSE,numeric,NA
sex,FALSE,TRUE,categorical,NA
age,FALSE,TRUE,categorical,NA
ethnicity,FALSE,TRUE,categorical,NA
acd,FALSE,FALSE,numeric,NA
anemia,FALSE,FALSE,numeric,NA
atrial_fibrillation,FALSE,FALSE,numeric,NA
blood_malignancy,FALSE,FALSE,numeric,NA
ckd,FALSE,FALSE,numeric,NA
copdb,FALSE,FALSE,numeric,NA
coronary_atherosclerosis,FALSE,FALSE,numeric,NA
diabetes_mellitus,FALSE,FALSE,numeric,NA
heart_valve_disorders,FALSE,FALSE,numeric,NA
hypertension,FALSE,FALSE,numeric,NA
priormi,FALSE,FALSE,numeric,NA
chf,FALSE,FALSE,numeric,NA
pvd,FALSE,FALSE,numeric,NA
cancer,FALSE,FALSE,numeric,NA
met,FALSE,FALSE,numeric,NA
rrt,FALSE,FALSE,numeric,NA
vent,FALSE,FALSE,numeric,NA
iabp,FALSE,FALSE,numeric,NA
doubled_creat,FALSE,FALSE,numeric,NA
any_inotrope,FALSE,FALSE,numeric,NA
hr_min_leq_60,FALSE,FALSE,numeric,NA
hr_mean_geq_100,FALSE,FALSE,numeric,NA
total_pressors_geq_1,FALSE,FALSE,numeric,NA
sys_bp_min_leq_80,FALSE,FALSE,numeric,NA
sys_bp_min_leq_90,FALSE,FALSE,numeric,NA
sys_bp_max_geq_180,FALSE,FALSE,numeric,NA
dias_bp_min_leq_40,FALSE,FALSE,numeric,NA
dias_bp_max_geq_90,FALSE,FALSE,numeric,NA
dias_bp_max_geq_110,FALSE,FALSE,numeric,NA
resp_rate_mean_leq_20,FALSE,FALSE,numeric,NA
resp_rate_min_leq_12,FALSE,FALSE,numeric,NA
resp_rate_max_geq_25,FALSE,FALSE,numeric,NA
sp_o2_min_leq_88,FALSE,FALSE,numeric,NA
sp_o2_min_geq_95,FALSE,FALSE,numeric,NA
aniongap_max_geq_14,FALSE,FALSE,numeric,NA
bicarbonate_min_leq_22,FALSE,FALSE,numeric,NA
chloride_max_geq_110,FALSE,FALSE,numeric,NA
glucose_min_leq_78,FALSE,FALSE,numeric,NA
hematocrit_max_geq_50,FALSE,FALSE,numeric,NA
hemoglobin_min_leq_8,FALSE,FALSE,numeric,NA
hemoglobin_min_leq_10,FALSE,FALSE,numeric,NA
platelet_min_leq_150,FALSE,FALSE,numeric,NA
platelet_min_geq_400,FALSE,FALSE,numeric,NA
potassium_max_geq_5,FALSE,FALSE,numeric,NA
inr_max_geq_2,FALSE,FALSE,numeric,NA
sodium_min_leq_135,FALSE,FALSE,numeric,NA
bun_max_geq_25,FALSE,FALSE,numeric,NA
wbc_max_leq_11,FALSE,FALSE,numeric,NA
wbc_max_geq_20,FALSE,FALSE,numeric,NA
rdw_max_leq_14,FALSE,FALSE,numeric,NA
