header,is_outcome,is_group_attribute,type,ordering
DeadAtDischarge,TRUE,FALSE,numeric,NA
Age,FALSE,TRUE,categorical,NA
HIVWithComplications,FALSE,TRUE,categorical,NA
Dataset,FALSE,FALSE,numeric,NA
In24Hours,FALSE,FALSE,numeric,NA
VentilatedOrCtsPulminaryArteryPressure,FALSE,FALSE,numeric,NA
HematologicalMalignancy,FALSE,FALSE,numeric,NA
MetastaticCancer,FALSE,FALSE,numeric,NA
CardioVascularFailure,FALSE,FALSE,numeric,NA
HematologicFailure,FALSE,FALSE,numeric,NA
HepaticFailure,FALSE,FALSE,numeric,NA
NeurologicalFailure,FALSE,FALSE,numeric,NA
RenalFailure,FALSE,FALSE,numeric,NA
RespiratoryFailure,FALSE,FALSE,numeric,NA
TotalOrganSystemFailure,FALSE,FALSE,numeric,NA
SAPJRMT,FALSE,FALSE,numeric,NA
HighestTemp_leq_34,FALSE,FALSE,numeric,NA
HighestTemp_leq_35,FALSE,FALSE,numeric,NA
HighestTemp_geq_39,FALSE,FALSE,numeric,NA
HighestTemp_geq_40,FALSE,FALSE,numeric,NA
GlasgowComaScore_geq_9,FALSE,FALSE,numeric,NA
GlasgowComaScore_geq_13,FALSE,FALSE,numeric,NA
WhiteBloodCellCount_leq_3BpL,FALSE,FALSE,numeric,NA
WhiteBloodCellCount_geq_11BpL,FALSE,FALSE,numeric,NA
SystolicBP_geq_140mmHg,FALSE,FALSE,numeric,NA
SystolicBP_geq_160mmHg,FALSE,FALSE,numeric,NA
SystolicBP_geq_180mmHg,FALSE,FALSE,numeric,NA
DailyUrinaryOutput_leq_500ml,FALSE,FALSE,numeric,NA
DailyUrinaryOutput_geq_3000ml,FALSE,FALSE,numeric,NA
SerumSodiumLevel_leq_135mEqL,FALSE,FALSE,numeric,NA
SerumSodiumLevel_geq_145mEqL,FALSE,FALSE,numeric,NA
SerumPotassiumLevel_leq_3o7mEqL,FALSE,FALSE,numeric,NA
SerumPotassiumLevel_geq_5o2mEqL,FALSE,FALSE,numeric,NA
SerumBicarbonateLevel_leq_21mmolL,FALSE,FALSE,numeric,NA
SerumBicarbonateLevel_geq_30mmolL,FALSE,FALSE,numeric,NA
SerumUreaNitrogenLevelLevel_leq_2o5_mmolL,FALSE,FALSE,numeric,NA
SerumUreaNitrogenLevelLevel_geq_7o1_mmolL,FALSE,FALSE,numeric,NA
AnyOrganSystemFailure,FALSE,FALSE,numeric,NA
MultipleOrganSystemFailure,FALSE,FALSE,numeric,NA
